 Projeção da População das Unidades da Federação por sexo, idade simples ou faixa-etária: 2010-2060 (edição 2018)
População residente por Região/Unidade da Federação e Ano
Período:2010-2060
"Região/Unidade da Federação";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";"2026";"2027";"2028";"2029";"2030";"2031";"2032";"2033";"2034";"2035";"2036";"2037";"2038";"2039";"2040";"2041";"2042";"2043";"2044";"2045";"2046";"2047";"2048";"2049";"2050";"2051";"2052";"2053";"2054";"2055";"2056";"2057";"2058";"2059";"2060"
".. Piauí";3192643;3202880;3212635;3220646;3228556;3237691;3246228;3254626;3263754;3272447;3280697;3288504;3295812;3302519;3308547;3313867;3318480;3322378;3325518;3327868;3329443;3330135;3329820;3328513;3326223;3322946;3318653;3313336;3307039;3299804;3291628;3282479;3272365;3261348;3249476;3236752;3223152;3208684;3193390;3177306;3160429;3142736;3124227;3104924;3084843;3063982;3042336;3019911;2996721;2972786;2948119
".. Ceará";8623766;8681591;8738045;8792607;8847031;8905267;8962834;9018764;9076426;9132858;9187886;9241366;9293112;9342908;9390560;9435907;9478838;9519244;9557007;9592073;9624466;9654132;9680942;9704871;9725938;9744180;9759629;9772281;9782155;9789317;9793834;9795742;9795059;9791826;9786100;9777877;9767129;9753853;9738051;9719721;9698820;9675292;9649120;9620296;9588823;9554693;9517922;9478556;9436622;9392152;9345192
".. Rio Grande do Norte";3239939;3271415;3302720;3332952;3363084;3393814;3422843;3450669;3479010;3506853;3534165;3560903;3586972;3612280;3636783;3660428;3683162;3704935;3725694;3745416;3764104;3781756;3798352;3813882;3828342;3841717;3853989;3865144;3875180;3884099;3891897;3898577;3904155;3908642;3912024;3914280;3915401;3915396;3914271;3912020;3908632;3904116;3898491;3891770;3883966;3875091;3865173;3854254;3842355;3829494;3815691
".. Paraíba";3840796;3859813;3875373;3890494;3910059;3932537;3953693;3974437;3996496;4018127;4039277;4059905;4079917;4099203;4117682;4135286;4151945;4167546;4181999;4195340;4207657;4218905;4228977;4237853;4245570;4252159;4257603;4261871;4264971;4266919;4267727;4267396;4265937;4263380;4259719;4254930;4249005;4241983;4233897;4224706;4214358;4202839;4190189;4176432;4161539;4145474;4128245;4109898;4090459;4069934;4048336
".. Pernambuco";9000873;9062229;9126434;9189504;9252442;9317744;9377368;9434839;9496735;9557517;9617072;9675249;9731843;9786666;9839619;9890556;9939342;9985921;10030223;10072190;10111808;10148858;10183114;10214587;10243275;10269143;10292112;10312102;10329117;10343147;10354192;10362239;10367287;10369343;10368383;10364406;10357414;10347405;10334368;10318285;10299159;10277017;10251890;10223763;10192631;10158518;10121489;10081634;10038990;9993592;9945508
".. Alagoas";3195720;3213606;3230877;3247527;3263524;3279222;3293629;3307532;3322379;3336911;3351092;3364895;3378277;3391204;3403637;3415514;3426799;3437464;3447480;3456820;3465453;3473215;3479940;3485617;3490239;3493794;3496257;3497601;3497815;3496909;3494895;3491771;3487534;3482188;3475744;3468233;3459661;3450030;3439343;3427603;3414828;3401028;3386203;3370351;3353463;3335549;3316619;3296685;3275745;3253802;3230875
".. Sergipe";2108297;2130440;2152329;2173632;2195015;2216657;2237132;2257266;2278308;2298902;2319032;2338688;2357840;2376447;2394484;2411922;2428742;2444933;2460470;2475341;2489543;2503065;2515898;2528046;2539516;2550306;2560404;2569805;2578518;2586546;2593896;2600559;2606540;2611852;2616494;2620468;2623766;2626387;2628337;2629608;2630195;2630096;2629311;2627834;2625660;2622791;2619237;2615013;2610119;2604560;2598353
".. Bahia";14302571;14372994;14441531;14505033;14565807;14629018;14689684;14749868;14812617;14872858;14930424;14985070;15036517;15084600;15129225;15170253;15207525;15240909;15270303;15295642;15316952;15333879;15346028;15353402;15355998;15353814;15346869;15335177;15318735;15297524;15271580;15241004;15205888;15166238;15122024;15073291;15020105;14962522;14900565;14834243;14763590;14688641;14609436;14525993;14438328;14346461;14250434;14150307;14046125;13937968;13825958
"Região Sudeste";82155595;82851649;83555019;84252766;84956931;85679246;86367683;87035037;87711946;88371433;89012240;89632912;90231492;90806278;91356428;91881437;92380849;92854166;93301019;93721260;94114911;94482231;94823250;95137981;95426537;95688965;95925070;96134614;96317863;96475032;96606386;96712287;96793261;96849859;96882382;96891105;96876296;96838354;96777640;96694276;96588282;96459866;96309437;96137130;95942945;95726895;95489301;95230768;94951591;94652034;94332464
".. Minas Gerais";19957444;20096163;20235204;20371328;20508631;20648978;20780264;20908628;21040662;21168791;21292666;21411923;21526076;21634690;21737475;21834171;21924590;22008542;22085843;22156380;22220112;22276910;22326629;22369292;22404924;22433582;22455264;22469965;22477805;22478907;22473382;22461334;22442963;22418462;22387961;22351612;22309504;22261758;22208509;22149820;22085730;22016308;21941633;21861733;21776623;21686312;21590896;21490522;21385216;21275013;21160005
